진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2024,남,외래,GB022,1143628,1590873,1897566,3320732625
2024,남,외래,GB023,473279,633087,773878,1803135740
2024,남,외래,GB024,536928,759616,926381,2705027118
2024,남,외래,GB025,256723,292541,334523,1170830500
2024,남,외래,GB031,866583,1134762,1531833,1306929955
2024,남,외래,GB032,779690,1085490,1345531,1677184672
2024,남,외래,GB033,642913,898867,1163492,1920795440
2024,남,외래,GB034,998200,1433130,1829666,3774585766
2024,남,외래,GB035,601074,697059,803124,1984153080
2024,남,외래,GB041,139763,161871,182873,171826150
2024,남,외래,GB042,175868,210916,262639,372934104
2024,남,외래,GB043,93993,117501,150052,283513025
2024,남,외래,GB044,150210,196125,252180,595059240
2024,남,외래,GB045,65755,73458,84352,238385050
2024,남,외래,H0124,137,138,152,
2024,남,외래,HA002,1,1,1,10300
2024,남,외래,HA010,1560,1726,1715,79365350
2024,남,외래,HA011,56,57,57,3860100
2024,남,외래,HA012,9,9,9,576060
2024,남,외래,HA021,17,17,17,851870
2024,남,외래,HA022,134,135,135,6834680
2024,남,외래,HA023,25,25,25,2536640
2024,남,외래,HA031,721,795,795,48757630
2024,남,외래,HA032,387,406,406,27050290
2024,남,외래,HA033,2858,2940,2940,172969650
2024,남,외래,HA040,2095,2316,2316,86721640
2024,남,외래,HA081,252,300,301,16136820
2024,남,외래,HA082,99,163,128,54326655
2024,남,외래,HA090,53,57,72,8766560
2024,남,외래,HA102,9585,14897,14933,2217200805
2024,남,외래,HA103,458,553,553,90176050
2024,남,외래,HA104,294,312,409,37210530
2024,남,외래,HA107,71,117,117,15083890
2024,남,외래,HA108,1,1,1,43770
2024,남,외래,HA109,1,1,1,160640
2024,남,외래,HA131,74522,104436,104483,7845345708
2024,남,외래,HA132,874,1354,860,94485219
2024,남,외래,HA133,119,220,121,17300172
2024,남,외래,HA134,265,349,364,70820505
2024,남,외래,HA135,5967,7981,7982,622008050
2024,남,외래,HA141,1376,1534,1533,61455320
2024,남,외래,HA142,370,394,395,18341870
2024,남,외래,HA143,12,15,15,623240
2024,남,외래,HA144,1824,1862,1862,102460620
2024,남,외래,HA151,952,1113,1111,44515210
